path;total_conversions;total_conversion_value;total_null
Display > Display > Affiliate > Affiliate;0;0;1
Display > Display > Affiliate > Affiliate > SEO > SEO > Display > Display > Display > Display;0;0;1
Display > Display > Display;0;0;3704
Display > Display > Display > Affiliate;0;0;13
Display > Display > Display > Affiliate > Affiliate;0;0;1
Display > Display > Display > Affiliate > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Affiliate > Other > Other > Other > SEA;0;0;1
Display > Display > Display > Display;0;0;2653
Display > Display > Display > Display > Affiliate;0;0;7
Display > Display > Display > Display > Affiliate > Affiliate;0;0;2
Display > Display > Display > Display > Affiliate > Affiliate > Affiliate;0;0;1
Display > Display > Display > Display > Affiliate > SEA > SEA;0;0;1
Display > Display > Display > Display > Display;0;0;2062
Display > Display > Display > Display > Display > Affiliate;1;66.76335817;5
Display > Display > Display > Display > Display > Affiliate > Affiliate;0;0;2
Display > Display > Display > Display > Display > Display;0;0;1615
Display > Display > Display > Display > Display > Display > Affiliate;0;0;5
Display > Display > Display > Display > Display > Display > Affiliate > Affiliate;0;0;2
Display > Display > Display > Display > Display > Display > Display;0;0;1175
Display > Display > Display > Display > Display > Display > Display > Affiliate;1;43.09663062;4
Display > Display > Display > Display > Display > Display > Display > Affiliate > Affiliate > Affiliate;0;0;2
Display > Display > Display > Display > Display > Display > Display > Display;0;0;882
Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;1;73.24869559;4
Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;651
Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;1;89.67209783;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate > SEA > SEA;0;0;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;529
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;0;0;2
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;412
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;0;0;2
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;282
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;0;0;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;224
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate;0;0;4
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;168
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;128
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;79
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;80
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;55
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;51
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;34
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;28
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;28
